scope_percent,kmeans_inside_accuracys,kmeans_outside_accuracys,nn_ouside_accuracys,same_result_accuracys
0,,0.7614323884401585,,
1,0.8378378378378378,0.760376124793723,0.7887100289566273,0.9306286390385154
2,0.8318002628120894,0.759748427672956,0.7662893081761006,0.9796540880503145
3,0.8251618871415356,0.7592439644218552,0.7692185514612452,0.9827191867852605
4,0.8204577968526466,0.758784455925296,0.772005262651221,0.9690017007348458
5,0.8140208574739282,0.7584887303389006,0.7852116101832334,0.928457921193449
6,0.8082926829268293,0.7582838976106978,0.7630035069319262,0.9880371013732752
7,0.801858893113646,0.7582632311055176,0.7825064582367358,0.958203616612572
8,0.799777117384844,0.7579764973718571,0.7658107067528207,0.9832267568381935
9,0.7948293006297646,0.7580219333874898,0.7817492553479556,0.9657798537774167
10,0.7862481315396114,0.758591182913472,0.7736856516976999,0.9744660460021906
11,0.7851872096201148,0.758425022489793,0.7722302954812815,0.9780984014947063
12,0.7873779113448535,0.7578059367124055,0.7812237468496219,0.965800896107533
13,0.788047255038221,0.7573643959779068,0.7721285936836142,0.9660812916017562
14,0.7836673130790778,0.7577363896848137,0.7699140401146132,0.9800143266475645
15,0.7808412155363252,0.7579370832125254,0.7712742824006958,0.9787619599884024
16,0.7804693414080243,0.7577446200095318,0.7623638963229095,0.9897349415258276
17,0.7786476868327402,0.7578412085668683,0.7709439144797892,0.9779889387921755
18,0.7773851590106007,0.7578706138703133,0.7698925539108874,0.9806521902472012
19,0.7763598660073376,0.7578731172980374,0.7548684010345352,0.9957021147116993
20,0.7763097949886105,0.7576609177702495,0.7627425315676009,0.9860255620572836
21,0.7739884393063584,0.758043758043758,0.7551967551967552,0.9955929955929956
22,0.771886219276443,0.7584422765512066,0.7652355938228208,0.985228484537304
23,0.7714134881879372,0.7584053794428435,0.7627681716298431,0.9847502401536984
24,0.7717253610336965,0.7581384035350873,0.7637734625207767,0.9856083025905056
25,0.7706734867860188,0.7583162217659137,0.7554004106776181,0.9957700205338809
26,0.7696359592648953,0.75851444749771,0.755599966691648,0.9957531851111666
27,0.7702717942934476,0.7581244196843082,0.7617962353338398,0.9909259728201233
28,0.7681096367195998,0.7588051525655839,0.7558094749005007,0.9957204604784525
29,0.7657809053670833,0.7596354166666667,0.7571180555555556,0.9922743055555555
30,0.7654408776919951,0.7596953823128054,0.756658009420258,0.9957300699916363
31,0.76573564122738,0.7594784084312062,0.767471977850221,0.9859331040950297
32,0.7652107572000763,0.7596375990939978,0.7615855039637599,0.9894903737259343
33,0.7665186007773459,0.7589059986210067,0.7558262468398069,0.9957251206619168
34,0.7652859960552268,0.7594244873172327,0.7600317653104125,0.9912645396365675
35,0.7669310555216595,0.7584408194233687,0.7551688163884673,0.9957795902883156
36,0.7679403541472507,0.7577319587628866,0.7545042875036131,0.9958088447827343
37,0.7678100263852242,0.7576469436695542,0.7607301913571184,0.9884989967209905
38,0.7685571979434447,0.7570228210610053,0.7537910803957639,0.9957738775916074
39,0.7693994205622112,0.7562910560889338,0.757655381505811,0.9933804951995957
40,0.7700359080143632,0.7556491372226787,0.7524137222678718,0.9957374691865243
41,0.7701766152470377,0.755302476230279,0.76319088914429,0.986782990283147
42,0.7692531452258018,0.7557150451887295,0.7526315789473684,0.9958532695374801
43,0.7682961489270996,0.756207064423649,0.7531238167360849,0.9958349110185536
44,0.7677876598110062,0.7563982607738455,0.7636633826847927,0.9877813858770433
45,0.7673233695652174,0.7565719410346954,0.7605515385908862,0.9912000448405358
46,0.767590193342635,0.7561393489434609,0.7533409480296973,0.9956025128498002
47,0.7669985034810333,0.7564564913913449,0.7616333178222429,0.9899371800837599
48,0.7661824668705403,0.7570115624073525,0.7539282537800178,0.9958493922324341
