scope_percent,kmeans_inside_accuracys,kmeans_outside_accuracys,nn_ouside_accuracys,same_result_accuracys
0,,0.6274165202108963,,
1,0.5,0.6292335115864528,0.6292335115864528,1.0
2,0.5384615384615384,0.6294964028776978,0.6294964028776978,1.0
3,0.7,0.6247723132969034,0.6247723132969034,1.0
4,0.75,0.6220183486238532,0.6220183486238532,1.0
5,0.7741935483870968,0.6189591078066915,0.6189591078066915,1.0
6,0.8055555555555556,0.6153846153846154,0.6153846153846154,1.0
7,0.8048780487804879,0.6136363636363636,0.6136363636363636,1.0
8,0.7872340425531915,0.6130268199233716,0.6130268199233716,1.0
9,0.7547169811320755,0.6143410852713178,0.6143410852713178,1.0
10,0.7627118644067796,0.611764705882353,0.611764705882353,1.0
11,0.7384615384615385,0.6130952380952381,0.6130952380952381,1.0
12,0.7605633802816901,0.608433734939759,0.608433734939759,1.0
13,0.75,0.6085192697768763,0.6085192697768763,1.0
14,0.7530864197530864,0.6065573770491803,0.6065573770491803,1.0
15,0.7586206896551724,0.6037344398340249,0.6037344398340249,1.0
16,0.7634408602150538,0.6008403361344538,0.6008403361344538,1.0
17,0.7551020408163265,0.6008492569002123,0.6008492569002123,1.0
18,0.7692307692307693,0.5956989247311828,0.5956989247311828,1.0
19,0.7727272727272727,0.5925925925925926,0.5925925925925926,1.0
20,0.7758620689655172,0.5894039735099338,0.5894039735099338,1.0
21,0.7851239669421488,0.5848214285714286,0.5848214285714286,1.0
22,0.7734375,0.5850340136054422,0.5850340136054422,1.0
23,0.7669172932330827,0.5848623853211009,0.5848623853211009,1.0
24,0.762589928057554,0.5837209302325581,0.5837209302325581,1.0
25,0.7638888888888888,0.5811764705882353,0.5811764705882353,1.0
26,0.7651006711409396,0.5785714285714286,0.5785714285714286,1.0
27,0.7612903225806451,0.5772946859903382,0.5772946859903382,1.0
28,0.7577639751552795,0.5759803921568627,0.5759803921568627,1.0
29,0.7440476190476191,0.5785536159600998,0.5785536159600998,1.0
30,0.75,0.5743073047858942,0.5743073047858942,1.0
31,0.7541899441340782,0.5692307692307692,0.5692307692307692,1.0
32,0.7554347826086957,0.5662337662337662,0.5662337662337662,1.0
33,0.7526315789473684,0.5646437994722955,0.5646437994722955,1.0
34,0.7538461538461538,0.5614973262032086,0.5614973262032086,1.0
35,0.746268656716418,0.5625,0.5625,1.0
36,0.7342995169082126,0.5662983425414365,0.5662983425414365,1.0
37,0.7370892018779343,0.5617977528089888,0.5617977528089888,1.0
38,0.7339449541284404,0.5612535612535613,0.5612535612535613,1.0
39,0.7276785714285714,0.5623188405797102,0.5623188405797102,1.0
40,0.7205240174672489,0.5647058823529412,0.5647058823529412,1.0
41,0.723404255319149,0.5598802395209581,0.5598802395209581,1.0
42,0.7261410788381742,0.5548780487804879,0.5548780487804879,1.0
43,0.7206477732793523,0.5559006211180124,0.5559006211180124,1.0
44,0.7103174603174603,0.5615141955835962,0.5615141955835962,1.0
45,0.7120622568093385,0.5576923076923077,0.5576923076923077,1.0
46,0.7056603773584905,0.5592105263157895,0.5592105263157895,1.0
47,0.7100371747211895,0.5533333333333333,0.5533333333333333,1.0
48,0.7028985507246377,0.5563139931740614,0.5563139931740614,1.0
49,0.701067615658363,0.5555555555555556,0.5555555555555556,1.0
