scope_percent,cluster_inside_accuracys,cluster_outside_accuracys,nn_ouside_accuracys,same_result_accuracys
10,1.0,0.8731343283582089,0.9701492537313433,0.8731343283582089
11,1.0,0.8712121212121212,0.9696969696969697,0.8560606060606061
12,1.0,0.8702290076335878,0.9618320610687023,0.8625954198473282
13,1.0,0.8682170542635659,0.9844961240310077,0.8527131782945736
14,1.0,0.8671875,0.9609375,0.859375
15,1.0,0.8650793650793651,0.9841269841269841,0.8650793650793651
16,1.0,0.864,0.96,0.872
17,1.0,0.8617886178861789,0.959349593495935,0.8536585365853658
18,1.0,0.860655737704918,0.9754098360655737,0.8688524590163934
19,1.0,0.8583333333333333,0.95,0.8583333333333333
20,1.0,0.8571428571428571,0.9831932773109243,0.8571428571428571
21,1.0,0.8547008547008547,0.9658119658119658,0.8376068376068376
22,1.0,0.853448275862069,0.9568965517241379,0.8448275862068966
23,1.0,0.8508771929824561,0.9736842105263158,0.8421052631578947
24,1.0,0.8495575221238938,0.9557522123893806,0.8407079646017699
25,1.0,0.8468468468468469,0.963963963963964,0.8288288288288288
26,1.0,0.8454545454545455,0.9545454545454546,0.8363636363636363
27,1.0,0.8425925925925926,0.9814814814814815,0.8240740740740741
28,1.0,0.8411214953271028,0.9719626168224299,0.8317757009345794
29,1.0,0.8380952380952381,0.9523809523809523,0.8285714285714286
30,1.0,0.8365384615384616,0.9615384615384616,0.8173076923076923
31,1.0,0.8333333333333334,0.9607843137254902,0.8529411764705882
32,1.0,0.8316831683168316,0.9603960396039604,0.8118811881188119
33,1.0,0.8282828282828283,0.9494949494949495,0.8181818181818182
34,1.0,0.826530612244898,0.9591836734693877,0.8469387755102041
35,0.9814814814814815,0.8333333333333334,0.9479166666666666,0.8020833333333334
36,0.9818181818181818,0.8315789473684211,0.9473684210526315,0.8
37,0.9824561403508771,0.8279569892473119,0.9354838709677419,0.8064516129032258
38,0.9655172413793104,0.8369565217391305,0.9347826086956522,0.8152173913043478
39,0.9666666666666667,0.8333333333333334,0.9444444444444444,0.8222222222222222
40,0.9672131147540983,0.8314606741573034,0.9325842696629213,0.8314606741573034
41,0.9682539682539683,0.8275862068965517,0.9310344827586207,0.8275862068965517
42,0.96875,0.8255813953488372,0.9418604651162791,0.8372093023255814
43,0.9696969696969697,0.8214285714285714,0.9404761904761905,0.8333333333333334
44,0.9701492537313433,0.8192771084337349,0.9397590361445783,0.8313253012048193
45,0.9710144927536232,0.8148148148148148,0.9382716049382716,0.8271604938271605
46,0.9714285714285714,0.8125,0.9375,0.825
47,0.9722222222222222,0.8076923076923077,0.9230769230769231,0.782051282051282
48,0.9726027397260274,0.8051948051948052,0.935064935064935,0.8181818181818182
49,0.9733333333333334,0.8,0.9333333333333333,0.8133333333333334
50,0.9605263157894737,0.8108108108108109,0.9459459459459459,0.8108108108108109
51,0.9615384615384616,0.8055555555555556,0.9444444444444444,0.8055555555555556
52,0.9620253164556962,0.8028169014084507,0.9295774647887324,0.8169014084507042
53,0.9629629629629629,0.7971014492753623,0.9565217391304348,0.782608695652174
54,0.9634146341463414,0.7941176470588235,0.9558823529411765,0.8088235294117647
55,0.9642857142857143,0.7878787878787878,0.9393939393939394,0.8484848484848485
56,0.9529411764705882,0.8,0.9538461538461539,0.8461538461538461
57,0.9540229885057471,0.7936507936507936,0.9523809523809523,0.8412698412698413
58,0.9545454545454546,0.7903225806451613,0.9516129032258065,0.8387096774193549
59,0.9555555555555556,0.7833333333333333,0.95,0.8333333333333334
60,0.9560439560439561,0.7796610169491526,0.9491525423728814,0.8305084745762712
61,0.956989247311828,0.7719298245614035,0.9473684210526315,0.8245614035087719
62,0.9574468085106383,0.7678571428571429,0.9464285714285714,0.8214285714285714
63,0.9583333333333334,0.7592592592592593,0.9444444444444444,0.8148148148148148
64,0.9484536082474226,0.7735849056603774,0.8301886792452831,0.9056603773584906
65,0.9494949494949495,0.7647058823529411,0.8823529411764706,0.8823529411764706
