scope_percent,kmeans_inside_accuracys,kmeans_outside_accuracys,nn_ouside_accuracys,same_result_accuracys
0,,0.7002314814814815,,
1,0.5,0.7030516431924883,0.7030516431924883,1.0
2,0.55,0.7037914691943128,0.7037914691943128,1.0
3,0.5357142857142857,0.7057416267942583,0.7057416267942583,1.0
4,0.55,0.7075242718446602,0.7075242718446602,1.0
5,0.5416666666666666,0.7095588235294118,0.7095588235294118,1.0
6,0.5535714285714286,0.7103960396039604,0.7103960396039604,1.0
7,0.53125,0.71375,0.71375,1.0
8,0.5394736842105263,0.7157360406091371,0.7157360406091371,1.0
9,0.5416666666666666,0.7173076923076923,0.7173076923076923,1.0
10,0.5454545454545454,0.7177835051546392,0.7177835051546392,1.0
11,0.5520833333333334,0.71875,0.71875,1.0
12,0.5601851851851852,0.7202380952380952,0.7202380952380952,1.0
13,0.5732758620689655,0.7199197860962567,0.7199197860962567,1.0
14,0.592741935483871,0.7182432432432433,0.7182432432432433,1.0
15,0.5992647058823529,0.7190934065934066,0.7190934065934066,1.0
16,0.6006944444444444,0.7201388888888889,0.7201388888888889,1.0
17,0.5953947368421053,0.7226123595505618,0.7226123595505618,1.0
18,0.59375,0.7244318181818182,0.7244318181818182,1.0
19,0.5922619047619048,0.7262931034482759,0.7262931034482759,1.0
20,0.59375,0.7274709302325582,0.7274709302325582,1.0
21,0.595108695652174,0.7286764705882353,0.7286764705882353,1.0
22,0.5911458333333334,0.7313988095238095,0.7313988095238095,1.0
23,0.5931372549019608,0.7333333333333333,0.7333333333333333,1.0
24,0.5943396226415094,0.7346625766871165,0.7346625766871165,1.0
25,0.5931818181818181,0.7368012422360248,0.7368012422360248,1.0
26,0.5883620689655172,0.7412974683544303,0.7412974683544303,1.0
27,0.5958333333333333,0.7403846153846154,0.7403846153846154,1.0
28,0.5983606557377049,0.7403225806451613,0.7403225806451613,1.0
29,0.5992063492063492,0.7418300653594772,0.7418300653594772,1.0
30,0.6079545454545454,0.7408333333333333,0.7408333333333333,1.0
31,0.6139705882352942,0.7398648648648649,0.7398648648648649,1.0
